
z      H(z)               H'(z)              H''(z)
0.00   1.00 000 000 000   +infty             -infty
0.05   1.13 657 484 173   2.33 706 572 499   -6.72 070 082 043
-01    1.13 657 484 683877D+01
+00    1.24 735 044 249444D+01
0.10   1.24 735 043 713   2.12 552 340 854   -2.72 359 699 103
0.15   1.35 083 358 726   2.02 350 707 216   -1.53 614 738 251
0.20   1.45 035 140 709   1.96 164 572 714   -0.99 784 464 484
0.25   1.54 732 622 812   1.91 979 438 791   -0.70 227 490 006
0.30   1.64 252 225 848   1.88 955 236 350   -0.52 080 318 072
0.35   1.73 640 371 932   1.86 670 241 055   -0.40 084 735 042
0.40   1.82 927 559 701   1.84 886 745 874   -0.31 726 244 572
0.45   1.92 134 958 544   1.83 459 604 282   -0.25 666 274 753
0.50   2.01 277 876 364   1.82 294 812 769   -0.21 134 149 768
0.55   2.10 367 740 351   1.81 328 667 785   -0.17 658 736 828
0.60   2.19 413 301 282   1.80 516 415 003   -0.14 938 024 508
0.65   2.28 421 402 476   1.79 825 674 452   -0.12 770 805 911
0.70   2.37 397 490 591   1.79 232 438 331   -0.11 018 679 242
0.75   2.46 345 966 186   1.78 718 533 331   -0.09 583 837 973
0.80   2.55 270 431 011   1.78 269 955 514   -0.08 395 555 017
0.85   2.64 173 866 589   1.77 875 745 457   -0.07 401 650 233
0.90   2.73 058 765 805   1.77 527 209 016   -0.06 562 948 323
0.95   2.81 927 231 610   1.77 217 365 584   -0.05 849 579 987
1.00   2.90 781 052 218   1.76 940 549 822   -0.05 238 456 191
